Format Version,1.23,Take Name,astro_optitrack_cuk_001,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2026-08-21 06.43.07.396 PM,Capture Start Frame,746709,Total Frames in Take,2851,Total Exported Frames,2851,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1269,Unlabeled 1269,Unlabeled 1269,Unlabeled 1270,Unlabeled 1270,Unlabeled 1270
,ID,"462DFAED4DF9D7011F1","462DFAED4DF9D7011F1","462DFAED4DF9D7011F1","525DFAED4DF9D7011F1","525DFAED4DF9D7011F1","525DFAED4DF9D7011F1"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
371,3.092000,-23.196478,151.627075,429.185852,,,
372,3.100000,-23.511332,151.653839,433.305847,,,
373,3.108000,-23.643866,151.796936,437.493744,,,
374,3.117000,-23.952650,151.992630,441.393127,,,
375,3.125000,-24.287550,152.144180,445.301727,,,
376,3.133000,-24.667070,152.307983,449.370850,,,
377,3.142000,-24.983135,152.513000,453.395111,,,
378,3.150000,-25.232191,152.600525,457.477631,,,
379,3.158000,-25.585194,152.631027,461.563812,,,
380,3.167000,-25.909374,152.805054,465.582245,,,
381,3.175000,-26.200550,152.974930,469.590057,,,
382,3.183000,-26.494072,153.121902,473.756348,,,
383,3.192000,-26.791513,153.210281,478.071228,,,
384,3.200000,-27.091295,153.274277,482.191071,,,
385,3.208000,-27.431732,153.339417,486.086853,,,
386,3.217000,-27.793737,153.632889,490.203491,,,
387,3.225000,-28.266489,153.853012,494.326355,,,
388,3.233000,-28.621222,153.893661,498.439728,,,
389,3.242000,-28.966820,154.039841,502.633881,,,
390,3.250000,-29.349529,154.221313,506.827820,,,
391,3.258000,-29.684040,154.438965,510.978271,,,
392,3.267000,-30.076031,154.483414,515.067627,,,
393,3.275000,-30.540785,154.583954,519.356995,,,
394,3.283000,-30.932806,154.696579,523.752625,,,
395,3.292000,-31.267288,154.892395,527.846313,,,
396,3.300000,-31.552635,155.050339,531.807190,,,
397,3.308000,-31.995163,155.255310,535.923279,,,
398,3.317000,-32.402664,155.349625,540.150330,,,
399,3.325000,-32.809071,155.486847,544.434937,,,
400,3.333000,-33.235840,155.657745,548.495605,,,
401,3.342000,-33.613621,155.851181,552.318787,,,
402,3.350000,-33.902668,156.048447,556.053406,,,
403,3.358000,-34.385811,156.260788,559.936523,,,
404,3.367000,-34.903862,156.429657,563.887268,,,
405,3.375000,-35.440079,156.696732,567.580994,,,
406,3.383000,-35.993690,156.855042,571.124207,,,
407,3.392000,-36.508179,157.164154,574.605286,,,
408,3.400000,-36.886402,157.357407,577.819946,,,
409,3.408000,-37.593903,157.621277,581.014221,,,
410,3.417000,-38.253891,157.890244,584.239136,,,
411,3.425000,-38.836887,158.194748,587.288086,,,
412,3.433000,-39.372368,158.407135,590.165588,,,
413,3.442000,-39.961445,158.642929,592.911255,,,
414,3.450000,-40.844284,158.889465,595.656616,,,
415,3.458000,-41.752377,159.268127,598.316162,,,
416,3.467000,-42.563480,159.593674,600.631409,,,
417,3.475000,-43.364101,159.885071,602.912109,,,
418,3.483000,-44.194885,160.102905,604.990173,,,
419,3.492000,-45.143196,160.191910,606.969666,,,
420,3.500000,-46.171383,160.254501,608.718811,,,
421,3.508000,-47.535709,160.381454,610.403259,,,
422,3.517000,-48.957588,160.389252,611.860413,,,
423,3.525000,-50.385712,160.442627,613.268188,,,
424,3.533000,-51.661865,160.371567,614.487671,,,
425,3.542000,-53.012569,160.329071,615.464539,,,
426,3.550000,-54.456646,160.295044,616.498596,,,
427,3.558000,-56.015656,160.186447,617.492859,,,
428,3.567000,-57.682526,160.288391,618.223511,,,
429,3.575000,-59.141628,160.306213,618.782410,,,
430,3.583000,-60.460693,160.341583,619.332214,,,
431,3.592000,-61.771683,160.343979,619.726868,,,
432,3.600000,-63.054531,160.275375,620.056091,,,
433,3.608000,-64.356888,160.323059,620.218567,,,
434,3.617000,-65.704895,160.367188,620.294617,,,
435,3.625000,-67.026108,160.366501,620.421814,,,
436,3.633000,-68.252357,160.298187,620.413940,,,
437,3.642000,-69.423164,160.133804,620.278015,,,
438,3.650000,-70.642006,160.059738,620.054993,,,
439,3.658000,-71.939041,160.019958,619.646545,,,
440,3.667000,-73.191345,159.968384,619.303467,,,
441,3.675000,-74.414383,159.927673,618.904663,,,
442,3.683000,-75.575027,159.827240,618.343079,,,
443,3.692000,-76.753120,159.588638,617.760010,,,
444,3.700000,-77.897552,159.331497,617.109924,,,
445,3.708000,-79.010956,159.065292,616.318054,,,
446,3.717000,-80.047096,158.974487,615.455139,,,
447,3.725000,-80.729553,158.923019,614.521118,,,
448,3.733000,-81.378815,158.848099,613.430603,,,
449,3.742000,-81.966743,158.736511,612.302490,,,
450,3.750000,-82.607376,158.597717,611.186951,,,
451,3.758000,-83.378517,158.401718,609.976685,,,
452,3.767000,-84.004272,158.179321,608.784363,,,
453,3.775000,-84.417183,157.947037,607.476135,,,
454,3.783000,-84.810577,157.726547,606.144104,,,
455,3.792000,-85.240883,157.587891,604.815430,,,
456,3.800000,-85.490974,157.338120,603.570312,,,
457,3.808000,-85.624268,157.049484,602.185120,,,
458,3.817000,-85.798935,156.906479,600.755066,,,
459,3.825000,-85.784081,156.956528,599.480957,,,
460,3.833000,-85.747437,156.979462,598.280884,,,
461,3.842000,-85.802963,156.932373,597.080200,,,
462,3.850000,-85.878349,156.843597,595.902710,,,
463,3.858000,-85.865730,156.688522,594.717285,,,
464,3.867000,-85.843826,156.659225,593.662659,,,
465,3.875000,-85.803963,156.630157,592.588623,,,
466,3.883000,-85.840530,156.577316,591.554932,,,
467,3.892000,-85.891853,156.568604,590.525085,,,
468,3.900000,-86.003891,156.536819,589.483887,,,
469,3.908000,-86.059570,156.469513,588.498108,,,
470,3.917000,-86.136787,156.407150,587.536194,,,
471,3.925000,-86.221008,156.418518,586.651428,,,
472,3.933000,-86.361168,156.426926,585.696350,,,
473,3.942000,-86.541824,156.400879,584.797058,,,
474,3.950000,-86.646698,156.310043,583.906494,,,
475,3.958000,-86.768173,156.305038,583.001221,,,
476,3.967000,-86.750885,156.240082,582.050293,,,
