time,x,z
2.625,-0.0016713700000000019,0.026613021999999986
2.633,-0.0018946440000000026,0.02888880899999996
2.642,-0.0019999560000000024,0.031173903999999975
2.65,-0.002328737000000001,0.03359993
2.658,-0.0023590620000000003,0.035927550999999974
2.667,-0.0026058840000000028,0.03842988599999997
2.675,-0.0026569070000000018,0.04106565899999998
2.683,-0.002907888000000001,0.043915236999999996
2.692,-0.0031004230000000015,0.04681014999999994
2.7,-0.0031749690000000014,0.04972393799999997
2.708,-0.0034911560000000005,0.052759674000000034
2.717,-0.003592950000000001,0.05575796500000002
2.725,-0.003720323000000001,0.058696411000000004
2.733,-0.003943686000000002,0.061738921999999974
2.742,-0.004135450000000001,0.064864441
2.75,-0.004207599000000001,0.06792196699999997
2.758,-0.0044711290000000025,0.07112374899999996
2.767,-0.0048056700000000015,0.074527283
2.775,-0.0048643620000000005,0.07767608599999998
2.783,-0.0050766640000000016,0.080833557
2.792,-0.005402066000000002,0.084198212
2.8,-0.005562829000000002,0.08750744599999999
2.808,-0.0057385740000000015,0.09098193399999993
2.817,-0.006066247000000002,0.09450811799999997
2.825,-0.006222514000000002,0.09788619999999998
2.833,-0.006378268000000001,0.10136666899999996
2.842,-0.006640267000000002,0.10486984300000002
2.85,-0.006890045000000001,0.10842285199999996
2.858,-0.007066161000000001,0.11192040999999997
2.867,-0.007194093000000002,0.11555709799999997
2.875,-0.007442405000000003,0.11921084599999998
2.883,-0.007689147000000004,0.12281292700000002
2.892,-0.007791243000000003,0.126272644
2.9,-0.008108241000000002,0.129953461
2.908,-0.008484542000000001,0.133769562
2.917,-0.008623288000000003,0.137492371
2.925,-0.008808314000000001,0.141348755
2.933,-0.008908854,0.14503005999999996
2.942,-0.009279019000000003,0.14866393999999994
2.95,-0.009617398000000003,0.15242428599999996
2.958,-0.009935019,0.15626940899999997
2.967,-0.010049962000000003,0.16014297499999997
2.975,-0.010225078000000002,0.16401522799999996
2.983,-0.010489417000000001,0.16778814699999994
2.992,-0.010812226000000001,0.17158904999999997
3.0,-0.011034429000000002,0.17546539299999997
3.008,-0.011315771999999998,0.17939044199999998
3.017,-0.011477172,0.18335110500000001
3.025,-0.011717366000000003,0.187248444
3.033,-0.011946994000000002,0.19112091099999995
3.042,-0.012161660000000001,0.19507330299999998
3.05,-0.012619359,0.19897476199999997
3.058,-0.012944751000000001,0.20293890399999998
3.067,-0.013150319,0.206874481
3.075,-0.013395774,0.210726898
3.083,-0.013707597000000002,0.21466189600000002
3.092,-0.014112340000000001,0.21866491700000001
3.1,-0.014427194,0.222784912
3.108,-0.014559728000000001,0.226972809
3.117,-0.014868512,0.23087219199999998
3.125,-0.015203412,0.23478079200000002
3.133,-0.015582932,0.23884991500000002
3.142,-0.015898997,0.24287417599999994
3.15,-0.016148053000000002,0.24695669599999998
3.158,-0.016501056000000004,0.25104287699999994
3.167,-0.016825236,0.25506131
3.175,-0.017116412,0.259069122
3.183,-0.017409934000000002,0.263235413
3.192,-0.017707375,0.267550293
3.2,-0.018007157,0.271670136
3.208,-0.018347594000000002,0.275565918
3.217,-0.018709599,0.27968255599999997
3.225,-0.019182351,0.28380542
3.233,-0.019537084,0.287918793
3.242,-0.019882682,0.29211294599999993
3.25,-0.020265391,0.2963068849999999
3.258,-0.020599902,0.300457336
3.267,-0.020991893,0.30454669199999995
3.275,-0.021456647000000002,0.30883605999999997
3.283,-0.021848668,0.31323168999999995
3.292,-0.02218315,0.31732537799999994
3.3,-0.022468496999999997,0.32128625499999997
3.308,-0.022911025,0.325402344
3.317,-0.023318526000000006,0.329629395
3.325,-0.023724933000000004,0.333914002
3.333,-0.024151702000000004,0.3379746699999999
3.342,-0.024529483000000005,0.341797852
3.35,-0.02481853,0.34553247099999995
3.358,-0.025301672999999997,0.34941558799999994
3.367,-0.025819723999999995,0.353366333
3.375,-0.026355941,0.35706005900000004
3.383,-0.026909552000000003,0.360603272
3.392,-0.027424041000000003,0.3640843509999999
3.4,-0.027802264,0.36729901099999995
3.408,-0.028509765,0.370493286
3.417,-0.029169753000000007,0.37371820099999997
3.425,-0.029752749000000002,0.376767151
3.433,-0.030288230000000006,0.37964465299999994
3.442,-0.030877307,0.38239031999999995
3.45,-0.031760146,0.38513568099999995
3.458,-0.032668239,0.3877952269999999
3.467,-0.033479342,0.390110474
3.475,-0.034279963,0.392391174
3.483,-0.035110747,0.394469238
3.492,-0.036059058000000005,0.3964487309999999
3.5,-0.037087245,0.3981978759999999
3.508,-0.038451571,0.399882324
3.517,-0.039873450000000005,0.401339478
3.525,-0.041301574,0.402747253
3.533,-0.042577727,0.403966736
3.542,-0.043928431000000004,0.40494360399999996
3.55,-0.045372508,0.405977661
3.558,-0.046931518,0.40697192399999993
3.567,-0.048598388000000006,0.40770257600000004
3.575,-0.050057489999999996,0.408261475
3.583,-0.051376555,0.408811279
3.592,-0.052687545,0.40920593299999997
3.6,-0.053970393,0.409535156
3.608,-0.05527275,0.409697632
3.617,-0.056620757,0.409773682
3.625,-0.05794196999999999,0.40990087900000005
3.633,-0.059168219,0.40989300500000003
3.642,-0.060339026,0.40975708
3.65,-0.061557867999999995,0.409534058
3.658,-0.06285490300000002,0.4091256099999999
3.667,-0.064107207,0.4087825319999999
3.675,-0.06533024500000001,0.408383728
3.683,-0.066490889,0.40782214399999994
3.692,-0.06766898199999999,0.4072390749999999
3.7,-0.06881341400000002,0.40658898899999996
3.708,-0.069926818,0.40579711899999993
3.717,-0.07096295799999999,0.404934204
3.725,-0.07164541499999999,0.40400018299999996
3.733,-0.072294677,0.40290966800000005
3.742,-0.07288260499999999,0.401781555
3.75,-0.07352323799999999,0.40066601599999996
3.758,-0.074294379,0.39945575
3.767,-0.074920134,0.3982634279999999
3.775,-0.07533304499999999,0.39695519999999995
3.783,-0.075726439,0.39562316899999994
3.792,-0.076156745,0.394294495
3.8,-0.076406836,0.393049377
3.808,-0.07654013000000001,0.391664185
3.817,-0.076714797,0.39023413100000004
3.825,-0.07669994299999999,0.388960022
3.833,-0.07666329900000002,0.387759949
3.842,-0.07671882500000002,0.38655926499999993
3.85,-0.076794211,0.3853817749999999
3.858,-0.07678159200000001,0.38419634999999996
3.867,-0.07675968800000002,0.3831417239999999
3.875,-0.07671982499999999,0.382067688
3.883,-0.076756392,0.38103399699999996
3.892,-0.076807715,0.38000415
3.9,-0.07691975300000001,0.37896295199999996
3.908,-0.07697543199999998,0.377977173
3.917,-0.077052649,0.377015259
3.925,-0.07713687,0.376130493
3.933,-0.07727703,0.37517541500000007
3.942,-0.077457686,0.374276123
3.95,-0.07756256,0.3733855589999999
3.958,-0.07768403500000001,0.37248028599999994
3.967,-0.07766674700000001,0.371529358
3.975,-0.077697181,0.37059851099999996
3.983,-0.07784403100000001,0.36963415499999996
3.992,-0.078048858,0.36874560599999995
4.0,-0.07827535099999999,0.36783929400000004
4.008,-0.078526336,0.36696423300000003
4.017,-0.079059142,0.3661099849999999
4.025,-0.079875106,0.36529644799999994
4.033,-0.080782515,0.36464752199999995
4.042,-0.08172273899999999,0.364045288
4.05,-0.082832091,0.36345465099999996
4.058,-0.084121627,0.36290716599999995
4.067,-0.08539820000000001,0.362396912
4.075,-0.086708762,0.361936096
4.083,-0.088004516,0.361447815
4.092,-0.08940373100000001,0.36100585899999993
4.1,-0.09091169600000001,0.36057721
4.108,-0.092507163,0.360064026
4.117,-0.09417889299999999,0.35963738999999995
4.125,-0.095888793,0.35917767300000003
4.133,-0.097555907,0.35875231899999993
4.142,-0.09944351900000001,0.358270691
4.15,-0.10141682300000002,0.3577827149999999
4.158,-0.10344124500000001,0.3572496949999999
4.167,-0.10554193,0.3567897339999999
4.175,-0.10755073400000001,0.35633386199999995
4.183,-0.10998655600000001,0.35578387499999997
4.192,-0.11225602600000001,0.35525323500000006
4.2,-0.114444556,0.3546889649999999
4.208,-0.11676068,0.354137024
4.217,-0.11920399400000001,0.353549927
4.225,-0.12179731599999999,0.35295257599999996
4.233,-0.12423895200000001,0.352433899
4.242,-0.12699941900000003,0.35177685599999997
4.25,-0.129802581,0.351156189
4.258,-0.132309325,0.350494324
4.267,-0.135205565,0.3497855839999999
4.275,-0.13832850500000002,0.34913794
4.283,-0.14104586700000002,0.34836364799999997
4.292,-0.14401451,0.34767401099999995
4.3,-0.147076125,0.34690173300000005
4.308,-0.150045211,0.34620397999999997
4.317,-0.15315483000000002,0.345450928
4.325,-0.156319274,0.34468634
4.333,-0.15929518,0.343944885
4.342,-0.162368575,0.343191162
4.35,-0.165502364,0.34241534399999995
4.358,-0.168586684,0.3415979
4.367,-0.17180241300000001,0.34089666799999996
4.375,-0.175131713,0.34013018799999994
4.383,-0.17853659000000002,0.33935907
4.392,-0.181921203,0.33860119599999994
4.4,-0.185258422,0.337721375
4.408,-0.188636413,0.33682501200000003
4.417,-0.19199847300000003,0.33598498499999996
4.425,-0.19531056100000002,0.33511590599999996
4.433,-0.198829574,0.334289429
4.442,-0.202352843,0.333455933
4.45,-0.20575459200000001,0.3326392819999999
4.458,-0.209191604,0.33179803500000005
4.467,-0.212585936,0.33089520299999997
4.475,-0.21599436800000002,0.33007415799999995
4.483,-0.219747222,0.32918731700000003
4.492,-0.22343456900000003,0.32847113000000006
4.5,-0.226844878,0.32754760699999996
4.508,-0.230288756,0.32664446999999996
4.517,-0.23394233600000003,0.3257275999999999
4.525,-0.23760304200000001,0.32480212399999997
4.533,-0.24115159500000002,0.323888916
4.542,-0.244733214,0.322973572
4.55,-0.24837347299999998,0.32207379199999997
4.558,-0.251739592,0.32116278099999995
4.567,-0.25535275199999996,0.320250916
4.575,-0.258974547,0.31942956499999997
4.583,-0.262750304,0.31853222700000006
4.592,-0.26633877499999997,0.317643005
4.6,-0.269581237,0.316655335
4.608,-0.273260772,0.3158678589999999
4.617,-0.276920653,0.31498773199999996
4.625,-0.28039211899999994,0.31418042
4.633,-0.28390572999999997,0.31337567099999997
4.642,-0.287141997,0.3125979609999999
4.65,-0.29045184199999996,0.31184643600000006
4.658,-0.29353390399999996,0.311123779
4.667,-0.296645598,0.310557007
4.675,-0.29992791599999996,0.31002282699999995
4.683,-0.30311267,0.30956561299999996
4.692,-0.306045989,0.30916455099999995
4.7,-0.30883596699999993,0.308835938
4.708,-0.311892241,0.30856610100000004
4.717,-0.31491082699999995,0.308340088
4.725,-0.31766314599999995,0.308180786
4.733,-0.320079101,0.308088135
4.742,-0.32273498399999995,0.3080271
4.75,-0.32545547399999997,0.3080136109999999
4.758,-0.32795049899999995,0.30805554199999996
4.767,-0.330469939,0.3081881099999999
4.775,-0.33281716799999994,0.308476074
4.783,-0.335380736,0.30875805700000003
4.792,-0.337886229,0.30908667
